observation_date,DGS5,change_in_yields_in_bps,Volatility,Policy_Scheme,Crisis_Scheme,Yield_Curve_Shape,Business_Cycles,Rolling_Volatility_Z_Score
2020-06-19,0.33,-1.00,3.096849397448338,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.43158538811156183
2020-06-22,0.34,1.00,3.0983866769659243,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.39709968475184493
2020-06-23,0.33,-1.00,3.106061661915132,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.33771184783191077
2020-06-24,0.33,0.00,3.096849397448338,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.40708673569340825
2020-06-25,0.32,-1.00,3.096849397448338,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.4771150448567303
2020-06-26,0.30,-2.00,3.12440470520461,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.42435463516223476
2020-06-29,0.28,-2.00,3.0315798175994204,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.92895064120819
2020-06-30,0.29,1.00,3.0315798175994204,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.9371700947117014
2020-07-01,0.31,2.00,3.057387618150337,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.812912585216581
2020-07-02,0.29,-2.00,2.749025801469095,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-2.067807082116241
2020-07-03,0.30,1.00,2.713283022816585,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-1.912486919111059
2020-07-06,0.31,1.00,2.142539659020606,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-3.02897508175535
2020-07-07,0.29,-2.00,2.142539659020606,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-2.4096376007500893
2020-07-08,0.30,1.00,1.9395630337539187,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-2.3543822216266146
2020-07-09,0.28,-2.00,1.3001831372834112,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-2.8228380041543697
2020-07-10,0.30,2.00,1.3749458863810362,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-2.2317596732006764
2020-07-13,0.30,0.00,1.3522468075656056,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-1.9535892388156708
2020-07-14,0.28,-2.00,1.4108423691100767,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-1.6593787498662913
2020-07-15,0.28,0.00,1.383577144320351,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-1.5080405963056542
2020-07-16,0.28,0.00,1.383577144320351,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-1.3525296672387126
2020-07-17,0.29,1.00,1.4108423691100767,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-1.190813154700088
2020-07-20,0.29,0.00,1.4006801069140324,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-1.0927846353301178
2020-07-21,0.27,-2.00,1.4259499757471428,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.9648107558180407
2020-07-22,0.27,0.00,1.4192553379450992,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.8859637295030677
2020-07-23,0.27,0.00,1.4192553379450992,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.8051609580238003
2020-07-24,0.27,0.00,1.4108423691100769,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.740567881275463
2020-07-27,0.30,3.00,1.5165750888102913,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.5194929292777036
2020-07-28,0.26,-4.00,1.700140050253547,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.1573171260890906
2020-07-29,0.25,-1.00,1.691716513457472,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.07374517939230062
2020-07-30,0.23,-2.00,1.6575943555704427,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.014933370429549264
2020-07-31,0.21,-2.00,1.6575943555704427,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,0.12845167271861876
2020-08-03,0.22,1.00,1.6575943555704427,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,0.38358514308687147
2020-08-04,0.19,-3.00,1.7196345126633161,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,0.8269755494706025
2020-08-05,0.22,3.00,1.8529256146249573,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,1.791994644666505
2020-08-06,0.21,-1.00,1.832250762625793,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,1.8163335022848026
2020-08-07,0.23,2.00,1.8682816143387304,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,1.7870937772784548
2020-08-10,0.24,1.00,1.8205179796655833,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,1.3647321170496893
2020-08-11,0.27,3.00,1.9566735620872917,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,1.8405854867199734
2020-08-12,0.30,3.00,2.0224925687072703,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,1.8794587012198827
2020-08-13,0.32,2.00,2.0644381225662114,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,1.8169209414449063
2020-08-14,0.29,-3.00,2.1789031753657593,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,2.0048456506148153
2020-08-17,0.29,0.00,2.1679483388678666,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,1.7278289739233
2020-08-18,0.27,-2.00,2.2114421065169516,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,1.6919570254121437
2020-08-19,0.29,2.00,2.2114421065169516,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,1.5241379857226844
2020-08-20,0.26,-3.00,2.3124919562279542,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,1.710510154496002
2020-08-21,0.27,1.00,2.323790007724438,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,1.5958851290088873
2020-08-24,0.28,1.00,2.3340135063060345,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,1.5159076812336636
2020-08-25,0.30,2.00,2.2803508501982632,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,1.2111635551035973
2020-08-26,0.28,-2.00,2.1425396590206054,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,0.5903231914801935
2020-08-27,0.31,3.00,2.2168188275737952,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,0.8124762484171145
2020-08-28,0.28,-3.00,2.2782616597915464,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,0.9849372009839438
2020-08-31,0.28,0.00,2.221110833194344,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,0.6650115786105095
2020-09-01,0.26,-2.00,2.271982561971967,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,0.8446127159711351
2020-09-02,0.26,0.00,2.152517905461712,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,0.1339527959317409
2020-09-03,0.24,-2.00,2.119074371152681,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.14564243605203236
2020-09-04,0.30,6.00,2.4611263391266194,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,1.8395727768323762
2020-09-07,0.29,-1.00,2.452404068314529,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,1.658323770675851
2020-09-08,0.28,-1.00,2.4620935729384255,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,1.7060723054903901
2020-09-09,0.28,0.00,2.376471974928168,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,1.0176118101222105
2020-09-10,0.26,-2.00,2.3155787099351,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,0.4528289479847433
2020-09-11,0.26,0.00,2.2614786566062604,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.12048885941325932
2020-09-14,0.27,1.00,2.1887156486113337,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.8344817669082996
2020-09-15,0.27,0.00,2.1887156486113337,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.8522647636429659
2020-09-16,0.28,1.00,2.1558337244831725,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-1.1226985761517565
2020-09-17,0.28,0.00,2.1089378956287423,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-1.4525538089084973
2020-09-18,0.29,1.00,2.007130147392383,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-2.0070778520167445
2020-09-21,0.27,-2.00,2.049390153191905,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-1.4770141420877188
2020-09-22,0.27,0.00,2.036570413125701,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-1.4078261443975764
2020-09-23,0.28,1.00,1.997617628695775,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-1.5056034758627002
2020-09-24,0.27,-1.00,1.9615348703550972,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-1.591167888627791
2020-09-25,0.26,-1.00,1.841324574993809,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-2.009134234811925
2020-09-28,0.26,0.00,1.7292993351285748,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-2.188076063270806
2020-09-29,0.24,-2.00,1.7781745588959208,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-1.693321110152057
2020-09-30,0.28,4.00,1.9469145308605948,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.8220939158824118
2020-10-01,0.27,-1.00,1.961534870355097,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.7026689031901613
2020-10-02,0.28,1.00,1.9136103997169074,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.86088132503921
2020-10-05,0.33,5.00,1.7687768170606966,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-1.3920354485007533
2020-10-06,0.32,-1.00,1.7687768170606966,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-1.295229954947068
2020-10-07,0.35,3.00,1.8529256146249566,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.8345015902659502
2020-10-08,0.33,-2.00,1.921061214661347,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.3974850842056781
2020-10-09,0.34,1.00,1.856776520645117,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.7137074100206555
